@relation training_dataset-weka.filters.unsupervised.attribute.Discretize-B19-M-1.0-Rfirst-last

@attribute GENDER {Female,Male,NA}
@attribute AGE {'\'(-inf-21.789474]\'','\'(21.789474-25.578947]\'','\'(25.578947-29.368421]\'','\'(29.368421-33.157895]\'','\'(33.157895-36.947368]\'','\'(36.947368-40.736842]\'','\'(40.736842-44.526316]\'','\'(44.526316-48.315789]\'','\'(48.315789-52.105263]\'','\'(52.105263-55.894737]\'','\'(55.894737-59.684211]\'','\'(59.684211-63.473684]\'','\'(63.473684-67.263158]\'','\'(67.263158-71.052632]\'','\'(71.052632-74.842105]\'','\'(74.842105-78.631579]\'','\'(78.631579-82.421053]\'','\'(82.421053-86.210526]\'','\'(86.210526-inf)\''}
@attribute MEMBER_POL_PARTY {NOTAMEMBER,HDZ,HKDS,HSP,HKDZ,SDP,OTHERPARTY,AREGIONALPARTY,NA,HSLS,SSH,HSS,SDSH}
@attribute INFO_PRESS {Yes,No,NA}
@attribute INFO_TV_RADIO {Yes,No,NA}
@attribute INFO_POL_MEETING {No,Yes,NA}
@attribute INFO_PARTY_PRESS {No,Yes,NA}
@attribute INFO_ELECT_PUBLICATION {No,Yes,NA}
@attribute INFO_CONVERSATION {No,Yes,NA}
@attribute INFO_NOT_INTERESTED {No,Yes,NA}
@attribute STATE_AND_MASS_MEDIA {NOINTERVENTION,LIMITEDINFLUENCE,STRONGINFLUENCE,NA}
@attribute RESULT_INFLUEN_VOTING {No,NA,Yes}
@attribute WHICH_PARTY_LAST_ELECT {HDZ,KOALICIJA,INDEPENDENT,NOVOTE,SAVEZKOMUNISTA,SAVEZZELENIH,HSS,OTHERPARTY,SOCIAJALISTICKI,NA,YUGOSLAVENSKA,SRPSKA,ISTARSKI}

@data
Female,'\'(36.947368-40.736842]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,Yes,NA,LIMITEDINFLUENCE,No,HDZ
Female,'\'(55.894737-59.684211]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,NOINTERVENTION,No,SAVEZKOMUNISTA
Female,'\'(21.789474-25.578947]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,NOVOTE
Female,'\'(25.578947-29.368421]\'',NOTAMEMBER,Yes,Yes,No,No,Yes,No,No,NOINTERVENTION,No,NOVOTE
Male,'\'(40.736842-44.526316]\'',OTHERPARTY,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,SAVEZKOMUNISTA
Male,'\'(33.157895-36.947368]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,No,NOINTERVENTION,No,HDZ
Male,'\'(40.736842-44.526316]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,LIMITEDINFLUENCE,No,HDZ
Female,'\'(52.105263-55.894737]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,SAVEZKOMUNISTA
Female,'\'(36.947368-40.736842]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,KOALICIJA
Male,'\'(25.578947-29.368421]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,NA,HDZ
Male,'\'(40.736842-44.526316]\'',HDZ,Yes,Yes,No,No,No,No,No,NOINTERVENTION,No,HDZ
Male,'\'(40.736842-44.526316]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,No,LIMITEDINFLUENCE,No,HDZ
Female,'\'(21.789474-25.578947]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,NOVOTE
Male,'\'(55.894737-59.684211]\'',SDP,Yes,Yes,Yes,No,No,Yes,No,STRONGINFLUENCE,No,SAVEZKOMUNISTA
Male,'\'(59.684211-63.473684]\'',HDZ,Yes,Yes,Yes,No,No,Yes,No,LIMITEDINFLUENCE,No,HDZ
Female,'\'(21.789474-25.578947]\'',NOTAMEMBER,Yes,NA,NA,NA,NA,NA,NA,LIMITEDINFLUENCE,No,NOVOTE
Male,'\'(-inf-21.789474]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,NOVOTE
Male,'\'(44.526316-48.315789]\'',HDZ,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,HDZ
Male,'\'(29.368421-33.157895]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,HDZ
Female,'\'(55.894737-59.684211]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,LIMITEDINFLUENCE,No,HDZ
Male,'\'(44.526316-48.315789]\'',NOTAMEMBER,Yes,Yes,NA,NA,NA,NA,NA,NOINTERVENTION,No,HSS
Male,'\'(29.368421-33.157895]\'',HDZ,Yes,Yes,Yes,Yes,No,No,No,LIMITEDINFLUENCE,No,HDZ
Male,'\'(36.947368-40.736842]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,No,NOINTERVENTION,No,KOALICIJA
Female,'\'(40.736842-44.526316]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,LIMITEDINFLUENCE,No,HDZ
Male,'\'(21.789474-25.578947]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,Yes,HDZ
Female,'\'(36.947368-40.736842]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,No,NOINTERVENTION,No,HDZ
Male,'\'(55.894737-59.684211]\'',HDZ,Yes,Yes,Yes,No,No,No,No,NOINTERVENTION,No,HDZ
Male,'\'(-inf-21.789474]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,HDZ
Female,'\'(36.947368-40.736842]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,HDZ
Female,'\'(29.368421-33.157895]\'',NOTAMEMBER,Yes,Yes,No,Yes,No,Yes,Yes,LIMITEDINFLUENCE,Yes,HDZ
Female,'\'(36.947368-40.736842]\'',NOTAMEMBER,Yes,Yes,NA,NA,NA,Yes,NA,NOINTERVENTION,NA,NOVOTE
Male,'\'(52.105263-55.894737]\'',NOTAMEMBER,Yes,Yes,NA,NA,NA,Yes,NA,NOINTERVENTION,No,KOALICIJA
Male,'\'(63.473684-67.263158]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,HDZ
Female,'\'(40.736842-44.526316]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,LIMITEDINFLUENCE,No,HDZ
Male,'\'(36.947368-40.736842]\'',NOTAMEMBER,Yes,Yes,NA,NA,NA,NA,NA,NOINTERVENTION,No,HDZ
Female,'\'(-inf-21.789474]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,Yes,NOINTERVENTION,No,INDEPENDENT
Male,'\'(21.789474-25.578947]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,HDZ
Male,'\'(52.105263-55.894737]\'',NOTAMEMBER,No,Yes,No,No,No,No,Yes,NOINTERVENTION,No,SAVEZKOMUNISTA
Female,'\'(36.947368-40.736842]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,NOINTERVENTION,No,OTHERPARTY
Female,'\'(36.947368-40.736842]\'',NOTAMEMBER,Yes,Yes,NA,NA,NA,Yes,NA,NOINTERVENTION,No,OTHERPARTY
Male,'\'(63.473684-67.263158]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,No,NOINTERVENTION,No,HDZ
Female,'\'(33.157895-36.947368]\'',HDZ,NA,Yes,NA,NA,NA,NA,NA,NOINTERVENTION,No,HDZ
Female,'\'(48.315789-52.105263]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,STRONGINFLUENCE,Yes,HDZ
Female,'\'(29.368421-33.157895]\'',HSLS,Yes,NA,NA,NA,NA,NA,NA,NOINTERVENTION,No,KOALICIJA
Male,'\'(29.368421-33.157895]\'',HSLS,Yes,Yes,NA,NA,NA,NA,NA,NOINTERVENTION,No,KOALICIJA
Male,'\'(33.157895-36.947368]\'',HSLS,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,KOALICIJA
Female,'\'(33.157895-36.947368]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,KOALICIJA
Male,'\'(44.526316-48.315789]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,NOINTERVENTION,No,HDZ
Male,'\'(29.368421-33.157895]\'',HSP,Yes,Yes,Yes,Yes,No,Yes,No,NOINTERVENTION,No,KOALICIJA
Female,'\'(25.578947-29.368421]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,No,NOINTERVENTION,No,KOALICIJA
Male,'\'(33.157895-36.947368]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,HDZ
Male,'\'(40.736842-44.526316]\'',SDP,Yes,Yes,NA,NA,NA,Yes,NA,NOINTERVENTION,No,SAVEZKOMUNISTA
Female,'\'(78.631579-82.421053]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,NA,LIMITEDINFLUENCE,No,NOVOTE
Male,'\'(40.736842-44.526316]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,HDZ
Female,'\'(36.947368-40.736842]\'',HDZ,Yes,Yes,Yes,Yes,No,Yes,No,NOINTERVENTION,No,HDZ
Female,'\'(44.526316-48.315789]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,HDZ
Female,'\'(33.157895-36.947368]\'',NOTAMEMBER,Yes,Yes,No,Yes,No,Yes,No,LIMITEDINFLUENCE,No,SAVEZKOMUNISTA
Female,'\'(-inf-21.789474]\'',NOTAMEMBER,Yes,NA,NA,NA,NA,NA,NA,LIMITEDINFLUENCE,No,HDZ
Female,'\'(40.736842-44.526316]\'',NOTAMEMBER,Yes,Yes,NA,NA,NA,NA,NA,LIMITEDINFLUENCE,No,SAVEZKOMUNISTA
Female,'\'(21.789474-25.578947]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,SAVEZKOMUNISTA
Male,'\'(33.157895-36.947368]\'',HDZ,Yes,Yes,Yes,Yes,Yes,Yes,No,LIMITEDINFLUENCE,No,HDZ
Female,'\'(29.368421-33.157895]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,STRONGINFLUENCE,No,HDZ
Male,'\'(48.315789-52.105263]\'',NOTAMEMBER,NA,NA,NA,NA,NA,NA,NA,STRONGINFLUENCE,No,SAVEZKOMUNISTA
Male,'\'(-inf-21.789474]\'',HKDZ,Yes,Yes,No,Yes,No,Yes,No,NOINTERVENTION,No,NOVOTE
Male,'\'(21.789474-25.578947]\'',NOTAMEMBER,Yes,Yes,No,Yes,Yes,Yes,No,STRONGINFLUENCE,No,NOVOTE
Female,'\'(48.315789-52.105263]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,SAVEZKOMUNISTA
Female,'\'(40.736842-44.526316]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,SAVEZKOMUNISTA
Female,'\'(33.157895-36.947368]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,NOINTERVENTION,No,SAVEZKOMUNISTA
Male,'\'(40.736842-44.526316]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,No,NOINTERVENTION,Yes,SAVEZKOMUNISTA
Female,'\'(-inf-21.789474]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,NOVOTE
Female,'\'(-inf-21.789474]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,Yes,LIMITEDINFLUENCE,No,NOVOTE
Male,'\'(21.789474-25.578947]\'',HDZ,No,Yes,No,No,Yes,Yes,No,LIMITEDINFLUENCE,No,HDZ
Male,'\'(-inf-21.789474]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,HDZ
Female,'\'(48.315789-52.105263]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,STRONGINFLUENCE,No,SAVEZKOMUNISTA
Male,'\'(29.368421-33.157895]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,No,NOINTERVENTION,No,HDZ
Male,'\'(40.736842-44.526316]\'',HKDZ,Yes,Yes,Yes,Yes,Yes,Yes,No,NOINTERVENTION,No,KOALICIJA
Female,'\'(33.157895-36.947368]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,No,NOINTERVENTION,No,SAVEZKOMUNISTA
Male,'\'(36.947368-40.736842]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,No,NOINTERVENTION,No,SAVEZKOMUNISTA
Female,'\'(29.368421-33.157895]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,NOINTERVENTION,No,NOVOTE
Female,'\'(36.947368-40.736842]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,Yes,NOINTERVENTION,No,SAVEZKOMUNISTA
Male,'\'(40.736842-44.526316]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,NOINTERVENTION,No,HDZ
Female,'\'(-inf-21.789474]\'',NOTAMEMBER,Yes,Yes,No,Yes,Yes,Yes,No,LIMITEDINFLUENCE,No,NOVOTE
Female,'\'(36.947368-40.736842]\'',NOTAMEMBER,Yes,NA,NA,NA,NA,NA,NA,LIMITEDINFLUENCE,No,KOALICIJA
Female,'\'(29.368421-33.157895]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,LIMITEDINFLUENCE,No,NOVOTE
Female,'\'(29.368421-33.157895]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,LIMITEDINFLUENCE,No,NOVOTE
Female,'\'(-inf-21.789474]\'',NOTAMEMBER,Yes,Yes,No,Yes,NA,Yes,No,NOINTERVENTION,No,NOVOTE
Male,'\'(21.789474-25.578947]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,NOVOTE
Male,'\'(33.157895-36.947368]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,NOVOTE
Female,'\'(33.157895-36.947368]\'',HDZ,Yes,Yes,Yes,Yes,No,Yes,No,LIMITEDINFLUENCE,No,HDZ
Female,'\'(86.210526-inf)\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,SAVEZKOMUNISTA
Female,'\'(52.105263-55.894737]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,HDZ
Male,'\'(-inf-21.789474]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,No,NOINTERVENTION,No,HDZ
Female,'\'(36.947368-40.736842]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,No,NOINTERVENTION,No,HDZ
Female,'\'(55.894737-59.684211]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,No,NOINTERVENTION,No,KOALICIJA
Male,'\'(48.315789-52.105263]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,HDZ
Male,'\'(59.684211-63.473684]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,KOALICIJA
Female,'\'(63.473684-67.263158]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,SAVEZKOMUNISTA
Female,'\'(48.315789-52.105263]\'',NOTAMEMBER,Yes,Yes,Yes,Yes,Yes,Yes,No,NOINTERVENTION,No,KOALICIJA
Female,'\'(44.526316-48.315789]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,HDZ
Male,'\'(40.736842-44.526316]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,Yes,NOVOTE
Female,'\'(21.789474-25.578947]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,SAVEZKOMUNISTA
Female,'\'(25.578947-29.368421]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,SAVEZKOMUNISTA
Female,'\'(21.789474-25.578947]\'',NOTAMEMBER,No,Yes,No,No,No,No,Yes,NOINTERVENTION,No,SAVEZKOMUNISTA
Female,'\'(29.368421-33.157895]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,HDZ
Female,'\'(44.526316-48.315789]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,HDZ
Female,'\'(48.315789-52.105263]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,KOALICIJA
Female,'\'(44.526316-48.315789]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,No,STRONGINFLUENCE,No,HDZ
Male,'\'(29.368421-33.157895]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,Yes,NOINTERVENTION,No,SAVEZKOMUNISTA
Male,'\'(25.578947-29.368421]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,Yes,HDZ
Male,'\'(25.578947-29.368421]\'',NOTAMEMBER,Yes,Yes,NA,NA,NA,NA,NA,NOINTERVENTION,No,HDZ
Male,'\'(25.578947-29.368421]\'',NOTAMEMBER,Yes,Yes,No,No,Yes,Yes,No,NOINTERVENTION,No,SAVEZKOMUNISTA
Male,'\'(33.157895-36.947368]\'',NOTAMEMBER,Yes,Yes,No,No,No,NA,No,NOINTERVENTION,No,HDZ
Male,'\'(-inf-21.789474]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,No,NOINTERVENTION,No,HDZ
Male,'\'(40.736842-44.526316]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,KOALICIJA
Male,'\'(36.947368-40.736842]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,No,NOINTERVENTION,No,HDZ
Male,'\'(21.789474-25.578947]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,No,NOINTERVENTION,No,SAVEZKOMUNISTA
Male,'\'(48.315789-52.105263]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,LIMITEDINFLUENCE,No,SAVEZKOMUNISTA
Male,'\'(40.736842-44.526316]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,KOALICIJA
Male,'\'(74.842105-78.631579]\'',OTHERPARTY,Yes,Yes,NA,NA,NA,Yes,NA,NOINTERVENTION,No,SAVEZKOMUNISTA
Female,'\'(36.947368-40.736842]\'',NOTAMEMBER,Yes,Yes,No,No,Yes,Yes,No,NOINTERVENTION,No,KOALICIJA
Female,'\'(25.578947-29.368421]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,NOVOTE
Male,'\'(-inf-21.789474]\'',NOTAMEMBER,No,Yes,No,No,No,No,Yes,NOINTERVENTION,No,NOVOTE
Male,'\'(40.736842-44.526316]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,Yes,KOALICIJA
Male,'\'(25.578947-29.368421]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,No,LIMITEDINFLUENCE,No,KOALICIJA
Female,'\'(40.736842-44.526316]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,SAVEZKOMUNISTA
Male,'\'(-inf-21.789474]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,No,NOINTERVENTION,No,SAVEZKOMUNISTA
Female,'\'(40.736842-44.526316]\'',OTHERPARTY,Yes,Yes,No,No,No,No,No,LIMITEDINFLUENCE,No,KOALICIJA
Male,'\'(59.684211-63.473684]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,STRONGINFLUENCE,Yes,HDZ
Female,'\'(48.315789-52.105263]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,NOINTERVENTION,No,SAVEZKOMUNISTA
Female,'\'(48.315789-52.105263]\'',NOTAMEMBER,No,Yes,No,No,No,No,Yes,NOINTERVENTION,No,HDZ
Female,'\'(21.789474-25.578947]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,No,LIMITEDINFLUENCE,No,KOALICIJA
Male,'\'(44.526316-48.315789]\'',NOTAMEMBER,No,No,Yes,Yes,No,No,Yes,LIMITEDINFLUENCE,No,HDZ
Male,'\'(36.947368-40.736842]\'',OTHERPARTY,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,HDZ
Male,'\'(33.157895-36.947368]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,KOALICIJA
Female,'\'(29.368421-33.157895]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,LIMITEDINFLUENCE,No,SAVEZKOMUNISTA
Female,'\'(44.526316-48.315789]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,No,LIMITEDINFLUENCE,No,HDZ
Female,'\'(29.368421-33.157895]\'',SDP,Yes,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,SAVEZKOMUNISTA
Male,'\'(44.526316-48.315789]\'',HSS,Yes,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,Yes,HSS
Female,'\'(63.473684-67.263158]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,HDZ
Female,'\'(-inf-21.789474]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,NOVOTE
Male,'\'(55.894737-59.684211]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,No,LIMITEDINFLUENCE,No,SAVEZKOMUNISTA
Male,'\'(21.789474-25.578947]\'',HSP,Yes,Yes,Yes,No,No,Yes,No,LIMITEDINFLUENCE,Yes,OTHERPARTY
Male,'\'(-inf-21.789474]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,HDZ
Male,'\'(44.526316-48.315789]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,No,NOINTERVENTION,No,HDZ
Male,'\'(-inf-21.789474]\'',NOTAMEMBER,Yes,Yes,No,Yes,No,Yes,No,NOINTERVENTION,No,NOVOTE
Male,'\'(25.578947-29.368421]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,NOVOTE
Male,'\'(40.736842-44.526316]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,HDZ
Male,'\'(-inf-21.789474]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,OTHERPARTY
Male,'\'(36.947368-40.736842]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,Yes,STRONGINFLUENCE,Yes,NOVOTE
Male,'\'(21.789474-25.578947]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,Yes,NOINTERVENTION,No,SAVEZZELENIH
Male,'\'(-inf-21.789474]\'',HSLS,Yes,Yes,Yes,No,No,Yes,No,LIMITEDINFLUENCE,No,KOALICIJA
Male,'\'(21.789474-25.578947]\'',NOTAMEMBER,Yes,No,No,No,No,No,No,NOINTERVENTION,No,KOALICIJA
Male,'\'(71.052632-74.842105]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,KOALICIJA
Male,'\'(44.526316-48.315789]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,Yes,NOINTERVENTION,No,INDEPENDENT
Male,'\'(44.526316-48.315789]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,No,NOINTERVENTION,No,KOALICIJA
Male,'\'(21.789474-25.578947]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,SAVEZKOMUNISTA
Male,'\'(36.947368-40.736842]\'',AREGIONALPARTY,Yes,Yes,NA,NA,NA,NA,NA,NOINTERVENTION,No,KOALICIJA
Male,'\'(-inf-21.789474]\'',NOTAMEMBER,No,No,No,No,No,Yes,Yes,NOINTERVENTION,No,NOVOTE
Female,'\'(21.789474-25.578947]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,Yes,NOINTERVENTION,No,SAVEZKOMUNISTA
Female,'\'(40.736842-44.526316]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,Yes,NOINTERVENTION,No,INDEPENDENT
Female,'\'(21.789474-25.578947]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,KOALICIJA
Female,'\'(52.105263-55.894737]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,KOALICIJA
Female,'\'(52.105263-55.894737]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,Yes,LIMITEDINFLUENCE,No,HDZ
Female,'\'(36.947368-40.736842]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,SAVEZKOMUNISTA
Female,'\'(48.315789-52.105263]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,Yes,HDZ
Female,'\'(36.947368-40.736842]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,SAVEZKOMUNISTA
Female,'\'(-inf-21.789474]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,Yes,LIMITEDINFLUENCE,No,KOALICIJA
Female,'\'(21.789474-25.578947]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,LIMITEDINFLUENCE,No,HDZ
Female,'\'(40.736842-44.526316]\'',HDZ,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,HDZ
Female,'\'(29.368421-33.157895]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,No,NOINTERVENTION,No,SAVEZKOMUNISTA
Female,'\'(86.210526-inf)\'',NOTAMEMBER,No,Yes,No,No,No,No,Yes,NOINTERVENTION,No,ISTARSKI
Female,'\'(44.526316-48.315789]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,No,NOINTERVENTION,No,HDZ
Female,'\'(40.736842-44.526316]\'',NOTAMEMBER,Yes,Yes,No,No,No,No,No,NOINTERVENTION,No,HDZ
Female,'\'(25.578947-29.368421]\'',NOTAMEMBER,NA,Yes,NA,NA,NA,NA,NA,NOINTERVENTION,No,SAVEZKOMUNISTA
Female,'\'(59.684211-63.473684]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,No,NOINTERVENTION,No,OTHERPARTY
Female,'\'(29.368421-33.157895]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,No,NOINTERVENTION,No,KOALICIJA
Female,'\'(44.526316-48.315789]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,SAVEZZELENIH
Female,'\'(21.789474-25.578947]\'',NOTAMEMBER,Yes,Yes,No,No,No,Yes,No,NOINTERVENTION,No,OTHERPARTY
Female,'\'(48.315789-52.105263]\'',NOTAMEMBER,Yes,Yes,No,Yes,Yes,Yes,No,NOINTERVENTION,No,HDZ
Female,'\'(36.947368-40.736842]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,No,NOINTERVENTION,Yes,HDZ
Female,'\'(71.052632-74.842105]\'',HDZ,No,Yes,No,No,No,No,No,LIMITEDINFLUENCE,Yes,HDZ
Female,'\'(40.736842-44.526316]\'',NA,No,Yes,No,No,No,No,No,NOINTERVENTION,No,HDZ
Female,'\'(-inf-21.789474]\'',NOTAMEMBER,No,Yes,No,No,No,Yes,No,NOINTERVENTION,No,OTHERPARTY
Female,'\'(48.315789-52.105263]\'',NOTAMEMBER,Yes,Yes,No,Yes,Yes,Yes,No,NOINTERVENTION,No,ISTARSKI
